Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20
,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,4,4,4,6,6,7,14,26,31,31,31,47,47,50,63,63,75,81,100,110,117,132,134,159,166,174,187,198,219,237,258,273,289,313,339,356,434,473,493,503,533,553,561,575,609,629,647,677,689,738,749,889,986,1137,1298,1507,1658,1739,1902,2086,2159,2190,2261,2372,2431,2768,3113,3430,3752,4002,4320,4670,5086,5454,5857,6300,6795,7338,7736,8158,8517,8928,9340,9764,10358,10766,11272,11667,11929,12398,12883,13354,13918,14333,14843,15294,15819,16357,16979,17882,18200,18553,18875,19290,19721,20030,20614,20951,21169,21478,21971,22506,23305,23582,23968,24156,24510,25390,26437,27373,28139,28904,29808,30823,31753,32830,33720,34723,35638,36491,37471,38623,39965,41112,42141,43887,45396,47050,48875,50397,52521,54649,56749,58497,60408,62124,64074,65884,67844,69556,71489,73150,75098,77216,79438,81240,82796,84286,85198,86316,87031,87716,88457,89032,89617,90240,90853,91556,92101,92868,93406,93791,94324,94895,95529,96165,96654,97105,97547,98007,98542,99268,99812,100347,100786,101103,101523,102083,102642,103499,103896,104202,104483,104957,105526
Beni,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,7,8,8,8,8,8,8,8,8,10,14,15,16,22,25,26,34,35,44,46,46,46,48,51,53,54,56,56,56,64,71,78,79,86,89,89,122,127,138,140,141,141,143,147,150,152,162,164,167,170,173,181,189,193,193,193,195,197,197,197,198,200,200,211,245,314,400,425,494,502,558,571,609,622,653,655,659,662,663,663,715,743,745,760,763,767,771,847,875,875,908,953,956,1025,1028,1034,1079,1084,1088,1090,1090,1100,1109,1110,1110,1111,1144,1216,1244,1330,1408,1478,1560,1650,1730,1809,1889,1979,2064,2134,2166,2178,2220,2300,2372,2442,2529,2589,2640,2699,2752,2832,2884,2964,3077,3147,3207,3261,3312,3349,3373,3426,3565,3752,3830,3880,3925,4006,4098
Chuquisaca,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,11,11,11,11,11,11,11,11,12,14,14,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,20,22,22,23,23,24,24,24,24,24,24,29,29,29,33,33,33,45,45,45,52,54,54,60,60,69,95,98,115,117,136,186,232,281,283,300,341,366,398,447,462,462,469,477,482,541,599,646,707,770,817,858,902,922,943,967,974,999,1071,1147,1203,1254,1333,1402,1455,1522,1589,1664,1757,1825,1906,1953,2001,2057,2108,2172,2227,2273,2344,2478,2629,2757,2926,3064,3178,3281,3394,3473,3519,3572,3617,3684,3758,3842,3973,4117,4254,4398,4476,4533,4625,4727,4792,4859,4921,4966,5024,5085,5148,5211,5252,5298,5339,5375,5459,5506,5547,5585,5623,5659,5685,5717
Cochabamba,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,13,13,13,13,13,13,13,22,22,22,25,25,25,25,25,33,33,33,40,40,40,45,45,45,45,50,50,50,50,55,55,55,55,55,55,55,60,60,60,60,60,60,60,64,64,71,71,71,71,71,71,71,76,76,76,76,78,78,81,86,94,94,94,103,104,109,126,132,147,147,162,162,177,194,220,250,286,310,338,359,388,419,455,513,580,624,708,783,995,1069,1235,1329,1421,1540,1646,1793,1951,2076,2173,2274,2334,2455,2550,2668,2754,2808,2916,2990,3068,3150,3233,3380,3530,3779,4045,4223,4540,4743,5002,5325,5645,5825,6095,6346,6554,6766,6961,7268,7504,7684,7814,7964,8084,8241,8377,8529,8659,8749,8829,8929,9024,9134,9254,9359,9459,9579,9669,9774,9954,9963,10048,10138,10233,10313,10408,10468,10538,10598,10673,10733,10783,10838,10878,10928,10973,11013,11091,11176,11232,11277,11325,11375,11422,11457,11502,11542,11582,11617,11652,11672,11697,11717,11737,11767
La Paz,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,6,6,6,6,13,13,15,17,19,26,27,27,27,34,38,45,46,49,49,55,63,67,68,76,93,101,123,157,166,171,174,180,181,182,199,209,210,219,228,234,237,242,244,248,249,251,254,263,269,272,272,276,285,289,291,304,314,322,322,324,330,332,332,345,351,351,360,365,368,376,382,388,391,394,394,396,400,411,418,425,430,433,464,496,533,561,594,625,636,704,742,797,821,832,861,881,907,948,977,986,1024,1060,1086,1093,1117,1135,1135,1161,1240,1302,1341,1404,1485,1537,1551,1679,1703,1739,1846,2016,2085,2234,2381,2444,2597,3299,3984,4780,5606,5847,6693,7624,8544,9391,10352,11202,12260,13276,14389,15445,16674,17754,18952,20151,21363,22104,22892,23663,23790,24045,24166,24254,24348,24397,24430,24473,24601,24669,24726,24863,24988,25079,25204,25357,25528,25697,25815,25932,26063,26149,26149,26357,26503,26624,26712,26763,26922,27023,27103,27225,27327,27386,27512,27607,27688
Oruro,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,28,28,28,28,36,45,48,52,57,57,57,58,65,65,66,66,70,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,74,79,82,82,82,82,84,86,90,90,90,93,94,97,97,103,104,104,107,110,110,112,112,191,194,197,197,197,197,219,222,222,228,252,262,275,286,302,307,339,346,368,384,393,396,403,425,430,443,455,489,520,520,558,583,594,631,640,660,665,685,687,691,708,711,761,810,810,814,834,843,1227,1435,1466,1623,1626,1635,1644,1659,1793,1815,1878,1903,1920,1929,1943,1983,2003,2012,2021,2040,2047,2102,2223,2235,2293,2305,2319,2339,2384,2425,2490,2544,2585,2608,2615,2641,2665,2692,2692,2713,2722,2741,2749,2784,2802,2821,2831,2837,2849,2886,2953,2981,2990,2999,3032,3085,3096,3124,3125,3129,3129,3145,3166
Pando,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,21,39,42,49,59,80,80,88,100,127,129,137,137,137,137,141,143,177,190,198,206,238,238,238,238,239,240,240,272,284,287,292,296,296,299,303,303,304,304,306,308,310,310,310,310,310,329,329,329,329,339,383,383,383,385,385,405,410,413,416,446,453,453,457,459,471,471,475,475,475,475,475,500,500,501,504,504,531,531,531,531,537,538,538,538,538,544,544,544,544,544,546,552,581,583,583,583,583,583,583
Potosi,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,6,6,6,6,6,7,7,7,7,7,7,11,11,11,11,11,11,11,11,17,20,20,20,20,20,28,28,28,28,28,28,31,31,31,31,31,31,31,31,34,34,35,35,35,35,35,35,35,35,35,40,40,40,40,50,50,51,51,51,52,52,52,53,70,74,75,80,82,82,82,82,82,82,99,101,103,103,187,187,192,192,192,196,222,222,235,240,277,277,278,281,296,364,364,370,387,393,427,432,435,447,472,472,475,476,567,577,610,620,624,628,644,650,657,693,836,882,882,899,903,1003,1098,1216,1279,1332,1341,1379,1416,1446,1565,1565,1567,1587,1693,1744,1807,1899,1917,1935,1968,1979,2209,2237,2280,2305,2306,2343,2374,2511,2581,2668,2681,2746,2751,2753,2792,2854,2907,2974,3001,3029,3174,3295,3434,3469,3482,3489,3586,3603
Santa Cruz,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,5,5,5,5,10,10,10,10,20,20,23,23,23,33,37,41,44,50,62,64,64,67,68,68,68,80,80,87,92,101,117,125,127,175,175,186,187,208,219,225,229,246,248,258,273,276,319,323,448,541,688,843,1048,1185,1253,1406,1580,1650,1673,1722,1819,1867,2185,2520,2824,3142,3379,3680,4019,4427,4778,5157,5589,6046,6558,6945,7332,7669,8059,8431,8832,9314,9688,10154,10498,10725,11137,11554,11987,12474,12801,13177,13515,13923,14324,14820,15352,15471,15547,15695,15828,16023,16148,16452,16537,16570,16642,16872,17102,17506,17571,17638,17650,17805,18420,19078,19770,20306,20813,21376,22013,22569,23135,23614,24093,24640,25027,25493,25972,26480,26888,27360,27943,28432,28950,29500,30005,30450,30865,31374,31682,32061,32431,32823,33182,33584,33909,34256,34564,34882,35270,35658,36001,36271,36524,36861,37147,37423,37638,37824,37939,38066,38181,38228,38272,38301,38330,38355,38378,38399,38421,38441,38456,38478,38499,38517,38532,38553,38572,38597,38620,38640,38653,38665,38688,38707,38734,38755,38774,38791,38814,38832
Tarija,Bolivia,-162.902,-635.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,4,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,11,11,11,11,12,14,14,16,16,20,22,27,28,28,30,30,30,31,31,31,31,33,33,34,35,36,36,36,39,49,49,49,49,49,78,107,137,159,205,207,209,251,278,283,323,372,431,474,494,556,579,614,675,737,750,769,780,818,874,909,973,1043,1087,1119,1124,1193,1221,1253,1286,1317,1328,1340,1362,1419,1801,2206,2575,2874,3236,3565,3852,3986,4095,4239,4360,4509,4567,4672,4765,4972,5174,5271,5449,5569,5635,5677,5745,5822,5931,6065,6235,6479,6576,6737,6975,7059,7110,7225,7379,7474,7652,7730,7790,7826,7980,8261,8497,8568,8736,8859,8953,9039,9094,9172,9448,9550,9648,9678,9794,10072
